election,election_date,precinct_description,precinct_code,political_party,voter_count
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 14,1914,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 14,1914,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 14,1914,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 15,1915,DEMOCRATIC,50
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 15,1915,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 15,1915,OTHER,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 15,1915,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 16,1916,DEMOCRATIC,39
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 17,1917,UNKNOWN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 17,1917,DEMOCRATIC,38
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 17,1917,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 17,1917,LIBERTARIAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 17,1917,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 17,1917,NONE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 18,1918,DEMOCRATIC,71
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 18,1918,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 18,1918,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 19 DIV 19,1919,DEMOCRATIC,31
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 01,2001,DEMOCRATIC,59
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 01,2001,OTHER,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 01,2001,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 02,2002,DEMOCRATIC,39
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 02,2002,NO AFFILIATION,5
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 02,2002,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 03,2003,DEMOCRATIC,141
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 03,2003,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 03,2003,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 03,2003,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 04,2004,DEMOCRATIC,134
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 04,2004,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 04,2004,OTHER,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 04,2004,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 05,2005,DEMOCRATIC,29
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 05,2005,INDEPENDENCE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 05,2005,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 05,2005,REPUBLICAN,4
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 06,2006,DEMOCRATIC,193
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 06,2006,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 06,2006,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 07,2007,DEMOCRATIC,90
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 07,2007,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 07,2007,REPUBLICAN,5
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 08,2008,DEMOCRATIC,34
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 08,2008,INDEPENDENCE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 08,2008,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 09,2009,UNKNOWN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 09,2009,DEMOCRATIC,17
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 09,2009,OTHER,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 09,2009,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 10,2010,DEMOCRATIC,57
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 10,2010,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 10,2010,REPUBLICAN,5
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 11,2011,DEMOCRATIC,19
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 11,2011,LIBERTARIAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 20 DIV 11,2011,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 01,2101,DEMOCRATIC,88
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 01,2101,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 01,2101,NO AFFILIATION,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 01,2101,REPUBLICAN,18
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 02,2102,DEMOCRATIC,95
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 02,2102,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 02,2102,NONE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 02,2102,NON-PARTISAN,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 02,2102,REPUBLICAN,27
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 03,2103,DEMOCRATIC,94
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 03,2103,REPUBLICAN,4
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 04,2104,DEMOCRATIC,48
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 04,2104,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 04,2104,REPUBLICAN,7
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 05,2105,DEMOCRATIC,137
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 05,2105,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 05,2105,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 05,2105,REPUBLICAN,31
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 06,2106,DEMOCRATIC,60
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 06,2106,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 06,2106,REPUBLICAN,10
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 07,2107,DEMOCRATIC,78
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 07,2107,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 07,2107,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 07,2107,REPUBLICAN,6
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 08,2108,DEMOCRATIC,49
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 08,2108,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 08,2108,REPUBLICAN,10
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 09,2109,DEMOCRATIC,89
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 09,2109,GREEN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 09,2109,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 09,2109,REPUBLICAN,15
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 10,2110,DEMOCRATIC,65
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 10,2110,REPUBLICAN,12
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 11,2111,DEMOCRATIC,100
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 11,2111,LIBERTARIAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 11,2111,NO AFFILIATION,5
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 11,2111,REPUBLICAN,10
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 12,2112,DEMOCRATIC,85
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 12,2112,LIBERTARIAN,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 12,2112,REPUBLICAN,16
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 13,2113,DEMOCRATIC,76
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 13,2113,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 13,2113,REPUBLICAN,18
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 14,2114,DEMOCRATIC,155
